type,name,iso_country,municipality,iata_code
large_airport,Olbia Costa Smeralda Airport,IT,Olbia (SS),OLB
small_airport,Oristano-Fenosu Airport,IT,Oristano,FNU
large_airport,Milan Malpensa International Airport,IT,Ferno (VA),MXP
large_airport,Il Caravaggio International Airport,IT,Orio al Serio (BG),BGY
large_airport,Turin Airport,IT,Caselle Torinese (TO),TRN
large_airport,Genoa Cristoforo Colombo Airport,IT,Genova (GE),GOA
large_airport,Milano Linate Airport,IT,Segrate (MI),LIN
medium_airport,Parma Airport,IT,Parma (PR),PMF
medium_airport,Aosta Corrado Gex Airport,IT,Saint-Christophe (AO),AOT
medium_airport,Cuneo International Airport,IT,Levaldigi (CN),CUF
medium_airport,Aviano Air Base,IT,Aviano (PN),AVB
medium_airport,Bolzano Airport,IT,Bolzano (BZ),BZO
large_airport,Bologna Guglielmo Marconi Airport,IT,Bologna,BLQ
large_airport,Treviso Airport,IT,Treviso (TV),TSF
medium_airport,Forlì-Luigi Ridolfi International Airport,IT,Forlì (FC),FRL
medium_airport,Brescia Gabriele d'Annunzio Airport,IT,Montichiari (BS),VBS
large_airport,Trieste Airport,IT,Ronchi dei Legionari/Trieste,TRS
large_airport,Federico Fellini International Airport,IT,Rimini (RN),RMI
large_airport,Verona Villafranca Valerio Catullo Airport,IT,Caselle (VR),VRN
medium_airport,Marche Airport,IT,Falconara Marittima (AN),AOI
large_airport,Venice Marco Polo Airport,IT,Venezia (VE),VCE
large_airport,Ciampino–G. B. Pastine International Airport,IT,Rome,CIA
large_airport,Rome–Fiumicino Leonardo da Vinci International Airport,IT,Rome,FCO
medium_airport,Salerno Costa d'Amalfi Airport,IT,Salerno,QSR
medium_airport,Marina di Campo Airport,IT,Campo nell'Elba (LI),EBA
large_airport,Naples International Airport,IT,Napoli,NAP
large_airport,Pisa International Airport,IT,Pisa (PI),PSA
large_airport,"Florence Airport, Peretola",IT,Firenze (FI),FLR
medium_airport,Grosseto Corrado Baccarini Air Base / Grosseto Airport,IT,Grosseto (GR),GRS
